issue,complete,valid_0,valid_1,valid_2,valid_3
issue,complete,valid_0,valid_1,valid_2,valid_3
issue,complete,valid_0,valid_1,valid_2,valid_3
issue,proper,complete,valid_0,valid_1,valid_2,valid_3
TIKA-1063,False,False,False,False,False,False
MATH-182,True,False,False,False,False,False
MATH-184,True,False,False,False,False,False
MATH-185,True,False,False,False,False,False
LANG-567,True,False,False,False,False,False
TIKA-394,False,False,False,False,False,False
TIKA-395,True,False,False,False,False,False
LANG-915,False,False,False,False,False,False
LANG-917,False,False,False,False,False,False
LANG-916,False,False,False,False,False,False
MATH-267,False,False,False,False,False,False
LANG-607,True,False,False,False,False,False
TIKA-2098,False,False,False,False,False,False
TIKA-2099,False,False,False,False,False,False
TIKA-1562,False,False,False,False,False,False
TIKA-463,False,False,False,False,False,False
TIKA-1567,False,False,False,False,False,False
TIKA-1400,False,False,False,False,False,False
TIKA-1568,False,False,False,False,False,False
MATH-465,False,False,False,False,False,False
MATH-464,True,False,False,False,False,False
MATH-1203,False,False,False,False,False,False
MATH-984,False,False,False,False,False,False
MATH-985,False,False,True,True,True,False
MATH-1205,False,False,False,False,False,False
MATH-1204,False,False,False,False,False,False
MATH-988,False,False,False,False,False,False
MATH-989,False,False,False,False,False,False
MATH-1208,False,False,False,False,False,False
LANG-683,True,False,False,False,False,False
MATH-867,False,False,False,False,False,False
COMPRESS-348,False,False,False,False,False,False
MATH-865,False,False,False,False,False,True
MATH-864,False,False,False,False,False,False
MATH-654,False,False,False,False,False,False
TIKA-1584,False,False,False,False,False,False
MATH-868,False,False,True,True,False,True
TIKA-309,False,False,False,False,True,False
TIKA-305,False,False,False,False,False,False
MATH-207,False,False,False,False,False,False
TIKA-655,True,False,False,False,False,False
MATH-657,False,False,True,True,True,True
TIKA-651,False,False,False,False,False,False
TIKA-650,True,False,False,False,False,False
LANG-1252,False,False,False,False,False,False
LANG-613,False,False,False,False,False,False
TIKA-391,False,False,False,True,True,True
TIKA-712,False,False,False,False,False,False
LANG-617,False,False,False,True,False,False
TIKA-711,False,False,False,False,False,False
MATH-204,True,False,False,False,False,False
MATH-214,True,False,False,False,False,False
LANG-1396,False,False,False,True,True,False
LANG-1395,False,False,True,True,True,False
TIKA-877,False,False,False,False,False,False
TIKA-1035,False,False,False,False,False,False
LANG-467,False,False,False,False,False,False
MATH-1059,False,False,False,False,False,False
TIKA-1960,False,False,False,False,False,False
TIKA-973,False,False,False,False,False,False
LANG-1475,True,False,False,False,False,False
MATH-1117,False,False,False,False,False,False
MATH-1115,False,False,False,False,False,False
TIKA-918,False,False,False,False,False,False
MATH-1110,False,False,False,False,False,False
TIKA-965,False,False,False,False,False,False
MATH-604,True,False,False,False,False,False
MATH-915,False,False,False,False,False,False
MATH-914,False,False,False,False,False,False
MATH-1065,False,False,False,False,False,False
LANG-865,False,False,False,False,False,False
TIKA-185,False,False,False,False,False,False
COMPRESS-100,True,False,False,False,False,False
LANG-1077,True,False,False,False,False,False
LANG-1072,False,False,False,False,False,False
TIKA-371,False,False,False,False,False,False
LANG-381,True,False,False,False,False,False
MATH-1103,False,False,False,False,False,False
COMPRESS-277,False,False,False,False,False,False
COMPRESS-278,False,False,False,False,False,False
TIKA-1171,False,False,False,False,False,False
LANG-261,False,False,False,False,False,False
COMPRESS-279,False,False,False,False,False,False
MATH-1261,False,False,False,False,False,False
MATH-329,False,False,False,False,False,False
COMPRESS-463,False,False,False,False,False,False
COMPRESS-462,False,False,True,True,True,True
MATH-326,False,False,True,True,True,True
MATH-327,False,False,False,False,False,False
COMPRESS-469,False,False,False,False,False,False
MATH-322,False,False,True,True,True,True
LANG-818,True,False,False,False,False,False
COMPRESS-351,False,False,False,False,False,False
COMPRESS-219,False,False,False,False,False,False
COMPRESS-356,False,False,False,False,False,False
COMPRESS-355,False,False,False,False,False,False
COMPRESS-212,False,False,False,False,False,False
LANG-813,True,False,False,False,False,False
LANG-814,True,False,False,False,False,False
TIKA-56,False,False,True,True,True,True
TIKA-1024,False,False,False,False,False,False
TIKA-1025,False,False,False,False,False,False
TIKA-1022,False,False,False,False,False,False
TIKA-1389,False,False,False,False,False,False
TIKA-51,False,False,False,False,False,False
TIKA-1385,False,False,False,False,False,False
MATH-1266,False,False,False,False,False,False
TIKA-1010,False,False,False,False,False,False
TIKA-1028,False,False,True,True,False,True
TIKA-935,False,False,False,False,False,False
TIKA-2055,False,False,False,False,False,False
TIKA-1413,False,False,False,False,False,False
LANG-315,True,False,False,False,False,False
TIKA-44,False,False,False,False,False,False
TIKA-1445,False,False,False,False,False,False
TIKA-1446,False,False,True,True,True,True
MATH-422,False,False,False,False,False,False
MATH-421,False,False,True,True,False,False
MATH-789,False,False,True,True,True,True
MATH-782,False,False,False,False,False,False
MATH-429,False,False,False,False,False,False
MATH-781,False,False,False,False,False,False
TIKA-1653,False,False,False,False,False,False
TIKA-695,False,False,False,False,False,False
LANG-928,False,False,False,False,False,False
LANG-1219,False,False,True,True,False,False
LANG-1214,False,False,False,False,False,False
LANG-920,False,False,False,False,False,False
LANG-921,False,False,False,True,False,False
TIKA-457,False,False,False,False,False,False
MATH-1080,False,False,False,False,False,False
MATH-255,False,False,False,False,False,False
LANG-1355,False,False,False,False,False,False
MATH-252,False,False,False,False,False,False
LANG-1350,False,False,False,False,False,False
MATH-552,False,False,False,False,True,False
MATH-258,False,False,False,False,False,False
MATH-259,False,False,False,False,False,False
MATH-555,False,False,False,False,False,False
MATH-554,False,False,False,False,True,True
MATH-1258,False,False,False,False,False,False
MATH-1259,False,False,False,False,False,False
MATH-1151,False,False,False,False,False,False
MATH-1156,False,False,False,False,False,False
MATH-1252,False,False,False,False,False,False
MATH-1256,False,False,False,False,False,False
MATH-1257,False,False,False,False,False,False
MATH-957,False,False,False,False,False,False
MATH-950,False,False,False,False,False,False
MATH-1206,False,False,False,False,False,False
TIKA-787,False,False,False,False,False,False
LANG-1133,False,False,False,False,False,False
TIKA-986,False,False,False,False,False,False
LANG-1131,False,False,False,False,False,False
TIKA-786,False,False,False,False,False,False
TIKA-982,False,False,False,False,False,False
TIKA-981,False,False,False,False,False,False
LANG-720,True,False,False,False,False,False
LANG-645,True,False,False,False,False,False
TIKA-339,True,False,False,False,False,False
LANG-646,True,False,False,False,False,False
MATH-1439,False,False,False,False,False,False
LANG-100,False,False,False,False,False,False
LANG-456,False,False,False,False,False,False
LANG-457,True,False,False,False,False,False
TIKA-724,False,False,False,False,False,False
MATH-779,False,False,False,False,False,False
MATH-778,False,False,False,False,False,False
MATH-776,False,False,True,True,True,True
MATH-775,False,False,True,True,True,True
COMPRESS-159,False,False,False,True,False,False
MATH-1029,False,False,False,False,False,False
MATH-770,False,False,False,False,False,False
TIKA-1589,False,False,False,False,False,False
COMPRESS-394,False,False,True,True,True,True
COMPRESS-256,False,False,True,False,False,True
COMPRESS-252,False,False,False,False,False,False
COMPRESS-253,False,False,False,False,False,False
MATH-679,False,False,True,True,True,True
LANG-586,False,False,False,True,False,False
LANG-587,False,False,False,False,False,False
LANG-857,True,False,False,False,False,False
LANG-428,True,False,False,False,False,False
MATH-1093,False,False,False,False,False,False
TIKA-240,False,False,False,False,False,False
LANG-1004,False,False,False,False,False,False
LANG-858,True,False,False,False,False,False
LANG-1001,False,False,False,False,False,False
LANG-1000,False,False,False,False,False,True
TIKA-1804,True,False,False,False,False,False
TIKA-19,False,False,True,True,True,True
TIKA-1777,False,False,False,False,False,False
TIKA-2019,False,False,False,False,False,True
MATH-153,False,False,False,False,False,False
TIKA-16,False,False,True,True,True,True
MATH-1449,False,False,False,False,False,False
MATH-1442,False,False,False,False,False,False
MATH-582,False,False,False,False,False,False
MATH-583,False,False,False,False,False,False
MATH-175,True,False,False,False,False,False
TIKA-1703,False,False,False,False,False,False
COMPRESS-459,False,False,True,False,True,True
TIKA-1378,False,False,False,False,False,False
COMPRESS-451,False,False,False,False,False,False
TIKA-1370,False,False,False,False,False,False
MATH-373,False,False,True,True,True,True
MATH-371,False,False,False,False,False,False
MATH-370,False,False,True,True,True,True
MATH-377,False,False,False,False,True,False
COMPRESS-321,False,False,False,False,False,False
COMPRESS-326,False,False,False,False,False,False
COMPRESS-324,False,False,False,False,False,False
TIKA-1117,False,False,False,False,False,False
MATH-199,True,False,False,False,False,False
MATH-198,True,False,False,False,False,False
TIKA-1110,False,False,False,True,False,True
TIKA-1506,False,False,False,False,False,False
TIKA-1970,False,False,False,False,False,False
MATH-191,True,False,False,False,False,False
MATH-197,False,False,False,True,False,False
TIKA-1870,False,False,False,False,False,False
TIKA-1877,False,False,False,False,False,False
TIKA-1928,False,False,False,False,False,False
TIKA-389,True,False,False,False,False,False
MATH-290,False,False,False,True,False,False
LANG-1312,False,False,False,False,False,False
LANG-1311,False,False,False,False,False,False
LANG-1310,False,False,False,False,False,False
MATH-294,False,False,True,True,True,True
MATH-296,False,False,True,True,True,True
MATH-297,False,False,False,False,False,False
LANG-1319,False,False,True,True,True,False
TIKA-418,False,False,False,False,False,False
MATH-458,False,False,False,False,False,False
MATH-209,False,False,False,False,False,False
TIKA-1477,False,False,True,True,True,True
MATH-519,False,False,False,False,False,False
LANG-672,True,False,False,False,False,False
MATH-859,False,False,True,True,True,True
MATH-996,False,False,False,False,False,False
LANG-677,True,False,False,False,False,False
TIKA-1600,False,False,False,False,False,False
MATH-855,False,False,True,True,True,True
COMPRESS-187,False,False,False,False,False,False
COMPRESS-184,False,False,False,False,False,False
COMPRESS-181,False,False,True,False,False,True
COMPRESS-189,False,False,False,False,False,False
TIKA-661,False,False,False,False,False,False
TIKA-1980,False,False,False,False,False,False
LANG-961,False,False,False,False,False,False
TIKA-701,True,False,False,False,False,False
TIKA-702,False,False,False,False,False,False
LANG-972,False,False,True,True,True,False
LANG-971,False,False,False,False,False,False
LANG-606,False,False,False,False,False,False
LANG-977,False,False,False,False,False,False
LANG-1261,False,False,False,False,False,False
LANG-1384,False,False,True,False,False,False
LANG-1385,False,False,False,False,False,False
MATH-200,True,False,False,False,False,False
LANG-1380,False,False,False,False,False,False
MATH-1436,False,False,False,False,False,False
LANG-1269,True,False,False,False,False,False
MATH-691,False,False,False,False,False,False
TIKA-961,False,False,False,False,False,False
MATH-1062,False,False,False,False,False,False
TIKA-963,False,False,False,False,False,False
TIKA-962,False,False,False,False,False,False
MATH-1067,False,False,False,False,False,False
LANG-412,True,False,False,False,False,False
MATH-1101,False,False,False,False,False,False
MATH-1068,False,False,False,False,False,False
LANG-418,True,False,False,False,False,False
LANG-419,True,False,False,False,False,False
MATH-1106,False,False,False,False,False,False
MATH-632,False,False,False,False,False,False
LANG-786,True,False,False,False,False,False
MATH-631,False,False,False,False,False,False
MATH-929,False,False,False,True,True,False
MATH-1269,False,False,False,False,False,False
MATH-927,False,False,False,False,False,False
MATH-924,False,False,True,True,True,True
MATH-639,False,False,True,True,True,True
LANG-788,True,False,False,False,False,False
LANG-69,True,False,False,False,False,False
LANG-896,True,False,False,False,False,False
LANG-1397,False,False,False,False,False,False
COMPRESS-113,True,False,False,False,False,False
MATH-701,False,False,False,True,False,False
COMPRESS-114,True,False,False,False,False,False
LANG-951,False,False,True,True,True,True
LANG-1162,False,False,False,False,False,False
LANG-1163,False,False,False,False,False,False
TIKA-742,False,False,False,False,False,False
TIKA-209,False,False,False,False,True,False
LANG-393,True,False,False,False,False,False
TIKA-2111,False,False,False,False,False,False
LANG-259,False,False,False,False,False,False
MATH-1021,False,False,False,False,False,False
LANG-521,False,False,True,True,True,False
MATH-1401,True,False,False,False,False,False
COMPRESS-412,False,False,True,True,True,True
MATH-705,False,False,True,True,True,True
MATH-702,False,False,False,False,False,False
MATH-1058,False,False,False,False,False,False
COMPRESS-416,False,False,True,True,True,True
MATH-338,False,False,False,False,False,False
COMPRESS-367,False,False,False,False,False,False
MATH-333,True,False,False,False,False,False
COMPRESS-363,False,False,False,False,False,False
MATH-709,False,False,False,True,True,False
COMPRESS-205,False,False,False,False,False,False
COMPRESS-206,False,False,False,False,False,False
COMPRESS-201,False,False,False,False,False,False
COMPRESS-200,False,False,False,False,False,False
COMPRESS-203,False,False,False,False,False,False
COMPRESS-164,False,False,False,False,False,False
COMPRESS-167,False,False,False,False,False,False
COMPRESS-160,False,False,True,True,True,True
TIKA-515,False,False,False,False,False,False
LANG-805,True,False,False,False,False,False
COMPRESS-163,False,False,False,False,False,False
TIKA-1422,True,False,False,False,False,False
TIKA-21,False,False,False,False,False,False
TIKA-1788,False,False,False,False,False,False
LANG-1364,False,False,False,True,False,False
TIKA-1835,False,False,True,True,False,True
TIKA-1782,False,False,False,False,False,False
TIKA-1837,False,False,False,False,False,False
TIKA-1938,False,False,False,False,False,False
LANG-901,False,False,False,False,False,False
LANG-328,True,False,False,False,False,False
TIKA-107,False,False,True,True,True,True
MATH-1051,False,False,False,False,False,False
MATH-1089,False,False,False,False,False,False
MATH-1088,False,False,False,False,False,False
TIKA-683,True,False,False,False,False,False
LANG-807,True,False,False,False,False,False
MATH-411,False,False,True,True,True,True
MATH-414,False,False,False,False,False,False
COMPRESS-94,True,False,False,False,False,False
MATH-388,True,False,False,False,False,False
TIKA-1303,False,False,False,False,False,False
MATH-382,False,False,True,True,True,True
MATH-383,False,False,False,False,False,True
LANG-552,False,False,False,False,False,False
TIKA-1669,False,False,True,True,False,True
TIKA-1646,False,False,False,False,False,False
MATH-891,False,False,True,False,True,False
MATH-899,False,False,True,True,True,True
TIKA-1937,False,False,True,False,False,False
TIKA-1945,False,False,False,False,False,False
TIKA-431,False,False,False,False,False,False
TIKA-1427,False,False,False,False,False,False
LANG-1348,False,False,False,False,False,False
TIKA-521,True,False,False,False,False,False
MATH-1297,False,False,False,False,False,False
TIKA-741,False,False,False,False,False,False
LANG-1226,False,False,False,False,False,False
TIKA-520,False,False,False,False,False,False
LANG-936,True,False,False,True,False,False
LANG-1229,False,False,False,False,False,False
LANG-934,False,False,False,False,False,False
TIKA-748,False,False,False,False,False,False
TIKA-422,True,False,False,False,False,False
TIKA-1019,False,False,False,False,False,False
MATH-243,False,False,True,True,True,True
TIKA-1548,False,False,False,False,False,False
MATH-241,False,False,True,True,True,True
MATH-240,False,False,False,False,False,False
MATH-567,False,False,False,False,False,False
TIKA-1011,False,False,False,False,False,False
MATH-1118,False,False,False,False,False,False
TIKA-1015,False,False,False,False,False,False
MATH-1144,False,False,False,False,False,False
TIKA-180,False,False,False,False,False,False
MATH-1141,False,False,False,False,False,False
LANG-746,True,False,False,False,False,False
LANG-747,True,False,False,False,False,False
MATH-60,False,False,False,False,False,False
MATH-1226,False,False,False,False,False,False
MATH-1148,False,False,False,True,False,False
MATH-965,False,False,True,True,True,True
MATH-801,False,False,True,True,True,True
MATH-803,False,False,False,True,False,True
TIKA-1005,False,False,False,False,False,False
MATH-205,False,False,False,True,False,False
LANG-1087,False,False,False,False,False,False
TIKA-1310,False,False,False,False,False,False
LANG-1083,False,False,False,False,False,False
LANG-1081,False,False,False,False,False,False
LANG-1003,False,False,True,True,True,True
TIKA-633,True,False,False,False,False,False
TIKA-632,False,False,False,False,False,False
LANG-1120,False,False,False,False,False,False
LANG-1122,False,False,False,False,False,False
LANG-1123,False,False,False,False,False,False
MATH-947,False,False,False,False,False,False
LANG-638,True,False,False,False,False,False
TIKA-736,False,False,False,False,False,False
TIKA-738,False,False,False,False,False,False
LANG-636,True,False,False,False,False,False
